Split,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,Year,Player
vs. CIN,1.80,1,0,0,0,3,0,0,5.0,2,1,1,1,0,6,.118,2018,Nick Wittgren
vs. COL,0.00,0,0,0,0,3,0,0,2.2,2,0,0,0,2,4,.222,2018,Nick Wittgren
vs. LAD,3.00,1,0,0,0,2,0,0,3.0,1,1,1,0,1,2,.100,2018,Nick Wittgren
vs. MIL,0.00,0,0,0,0,2,0,0,2.0,2,1,0,0,2,3,.250,2018,Nick Wittgren
vs. NYM,0.00,0,0,0,0,4,0,0,4.0,3,1,0,0,0,3,.167,2018,Nick Wittgren
vs. PIT,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,.000,2018,Nick Wittgren
vs. SD,9.00,0,0,0,0,2,0,0,2.0,4,2,2,0,1,0,.400,2018,Nick Wittgren
vs. TOR,0.00,0,0,0,0,1,0,0,2.0,0,0,0,0,0,2,.000,2018,Nick Wittgren
vs. WSH,21.60,0,1,0,0,3,0,0,1.2,4,4,4,0,3,3,.444,2018,Nick Wittgren
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2018,Nick Wittgren
Scoring Position,40,14,10,3,0,0,13,9,0,8,0,0,.250,.380,.325,.705,2018,Nick Wittgren
1st Time Faced In Game,130,15,29,8,1,1,14,15,1,31,0,0,.223,.306,.323,.629,2018,Nick Wittgren
2nd Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2018,Nick Wittgren
3rd Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2018,Nick Wittgren
4th+ Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2018,Nick Wittgren
All Splits,4.68,3,1,0,0,38,0,0,42.1,46,22,22,5,13,43,.277,2017,Nick Wittgren
Home,4.64,1,1,0,0,20,0,0,21.1,20,11,11,2,5,17,.247,2017,Nick Wittgren
Away,4.71,2,0,0,0,18,0,0,21.0,26,11,11,3,8,26,.306,2017,Nick Wittgren
Day,4.50,2,1,0,0,13,0,0,14.0,15,7,7,2,5,17,.268,2017,Nick Wittgren
Night,4.76,1,0,0,0,25,0,0,28.1,31,15,15,3,8,26,.282,2017,Nick Wittgren
April,2.70,0,0,0,0,3,0,0,6.2,5,2,2,1,2,7,.217,2017,Nick Wittgren
May,3.14,0,0,0,0,13,0,0,14.1,13,5,5,1,2,14,.241,2017,Nick Wittgren
June,4.35,1,1,0,0,12,0,0,10.1,14,5,5,1,2,11,.326,2017,Nick Wittgren
July,8.18,2,0,0,0,10,0,0,11.0,14,10,10,2,7,11,.304,2017,Nick Wittgren
Last 7 Days,---,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,.000,2017,Nick Wittgren
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2017,Nick Wittgren
vs. ATL,2.45,0,0,0,0,3,0,0,3.2,4,1,1,0,0,5,.286,2017,Nick Wittgren
vs. CHC,10.13,0,1,0,0,3,0,0,2.2,6,3,3,0,0,4,.429,2017,Nick Wittgren
vs. CIN,0.00,1,0,0,0,2,0,0,1.1,1,0,0,0,2,2,.200,2017,Nick Wittgren
vs. HOU,6.75,0,0,0,0,1,0,0,2.2,3,2,2,1,1,1,.273,2017,Nick Wittgren
vs. LAA,0.00,0,0,0,0,2,0,0,2.0,0,0,0,0,0,2,.000,2017,Nick Wittgren
vs. LAD,3.00,0,0,0,0,3,0,0,3.0,1,1,1,0,1,1,.111,2017,Nick Wittgren
vs. MIL,4.50,0,0,0,0,1,0,0,2.0,2,1,1,1,0,2,.250,2017,Nick Wittgren
vs. OAK,0.00,0,0,0,0,2,0,0,1.1,2,0,0,0,1,2,.333,2017,Nick Wittgren
vs. PHI,10.13,0,0,0,0,3,0,0,2.2,4,3,3,0,2,3,.364,2017,Nick Wittgren
vs. PIT,0.00,0,0,0,0,2,0,0,2.0,3,0,0,0,0,1,.333,2017,Nick Wittgren
vs. SF,0.00,1,0,0,0,1,0,0,2.0,0,0,0,0,0,4,.000,2017,Nick Wittgren
vs. STL,6.00,0,0,0,0,3,0,0,3.0,4,2,2,1,1,2,.308,2017,Nick Wittgren
Batting #6,24,2,4,2,0,0,2,1,0,9,0,0,.167,.200,.250,.450,2017,Nick Wittgren
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2017,Nick Wittgren
None On,103,4,26,10,2,4,4,4,0,28,0,0,.252,.280,.505,.785,2017,Nick Wittgren
Runners On,63,18,20,4,0,1,20,9,0,15,0,2,.317,.387,.429,.815,2017,Nick Wittgren
Scoring Position,40,15,13,2,0,0,17,5,0,10,0,1,.325,.375,.375,.750,2017,Nick Wittgren
All Splits,3.14,4,3,0,2,48,0,0,51.2,50,18,18,6,10,42,.254,2016,Nick Wittgren
Home,2.70,2,0,0,1,22,0,0,23.1,21,7,7,3,5,17,.241,2016,Nick Wittgren
Away,3.49,2,3,0,1,26,0,0,28.1,29,11,11,3,5,25,.264,2016,Nick Wittgren
Day,1.88,0,0,0,0,12,0,0,14.1,12,3,3,1,1,14,.222,2016,Nick Wittgren
Night,3.62,4,3,0,2,36,0,0,37.1,38,15,15,5,9,28,.266,2016,Nick Wittgren
April,4.50,0,0,0,0,2,0,0,2.0,1,1,1,0,2,1,.143,2016,Nick Wittgren
May,1.42,0,0,0,0,4,0,0,6.1,6,1,1,1,2,6,.231,2016,Nick Wittgren
June,4.38,2,1,0,0,11,0,0,12.1,11,6,6,2,0,17,.234,2016,Nick Wittgren
July,1.32,1,0,0,0,11,0,0,13.2,8,2,2,1,2,7,.163,2016,Nick Wittgren
August,4.61,1,2,0,2,14,0,0,13.2,15,7,7,2,3,9,.306,2016,Nick Wittgren
September,2.45,0,0,0,0,6,0,0,3.2,9,1,1,0,1,2,.474,2016,Nick Wittgren
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2016,Nick Wittgren
vs. ARI,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,3,.000,2016,Nick Wittgren
vs. ATL,0.00,1,0,0,0,4,0,0,5.1,5,0,0,0,2,1,.238,2016,Nick Wittgren
vs. CHC,0.00,0,0,0,0,3,0,0,2.0,1,0,0,0,0,3,.167,2016,Nick Wittgren
vs. CHW,0.00,0,0,0,0,2,0,0,2.1,3,0,0,0,1,0,.375,2016,Nick Wittgren
vs. CIN,6.00,0,1,0,1,2,0,0,3.0,4,2,2,0,1,2,.333,2016,Nick Wittgren
vs. COL,5.40,1,0,0,0,4,0,0,3.1,5,2,2,1,1,4,.357,2016,Nick Wittgren
vs. KC,0.00,0,0,0,0,1,0,0,1.1,0,0,0,0,0,2,.000,2016,Nick Wittgren
vs. MIL,0.00,0,0,0,0,1,0,0,1.2,1,0,0,0,1,3,.167,2016,Nick Wittgren
vs. MIN,13.50,0,1,0,0,1,0,0,1.1,4,2,2,0,0,1,.500,2016,Nick Wittgren
vs. NYM,4.91,0,1,0,0,4,0,0,3.2,5,2,2,1,0,2,.313,2016,Nick Wittgren
vs. PHI,0.00,0,0,0,0,7,0,0,5.1,3,0,0,0,0,4,.167,2016,Nick Wittgren
Batting #1,23,1,5,0,0,1,2,1,0,2,0,0,.217,.240,.348,.588,2016,Nick Wittgren
Batting #5,19,4,6,0,0,2,4,2,0,7,0,0,.316,.381,.632,1.013,2016,Nick Wittgren
Batting #6,21,1,5,0,0,0,3,0,0,2,0,0,.238,.238,.238,.476,2016,Nick Wittgren
Batting #7,20,3,7,1,0,2,3,0,1,3,0,0,.350,.381,.700,1.081,2016,Nick Wittgren
Batting #8,18,1,4,1,0,0,1,0,0,3,0,0,.222,.211,.278,.488,2016,Nick Wittgren
Scoring Position,49,9,10,1,0,1,12,5,1,14,0,0,.204,.281,.286,.566,2016,Nick Wittgren
Bases Loaded,9,1,1,0,0,0,3,0,0,3,0,0,.111,.100,.111,.211,2016,Nick Wittgren
"Scoring Position, 2 out",27,6,3,1,0,1,5,4,1,7,0,0,.111,.250,.259,.509,2016,Nick Wittgren
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2016,Nick Wittgren
As Reliever,197,18,50,7,0,6,21,10,1,42,0,0,.254,.290,.381,.671,2016,Nick Wittgren
All Splits,2.93,3,0,1,3,24,0,0,27.2,25,13,9,2,6,23,.243,2020,Yency Almonte
Home,3.86,1,0,1,1,11,0,0,14.0,16,9,6,1,2,13,.286,2020,Yency Almonte
Away,1.98,2,0,0,2,13,0,0,13.2,9,4,3,1,4,10,.191,2020,Yency Almonte
Day,1.93,1,0,0,1,8,0,0,9.1,12,6,2,0,4,8,.308,2020,Yency Almonte
Night,3.44,2,0,1,2,16,0,0,18.1,13,7,7,2,2,15,.203,2020,Yency Almonte
July,0.00,0,0,0,0,2,0,0,3.0,1,0,0,0,0,3,.100,2020,Yency Almonte
August,4.02,1,0,1,3,13,0,0,15.2,16,11,7,1,2,14,.271,2020,Yency Almonte
September,2.00,2,0,0,0,9,0,0,9.0,8,2,2,1,4,6,.235,2020,Yency Almonte
Last 7 Days,3.86,0,0,0,0,2,0,0,2.1,2,1,1,1,2,2,.250,2020,Yency Almonte
Last 15 Days,2.25,0,0,0,0,4,0,0,4.0,4,1,1,1,3,3,.267,2020,Yency Almonte
Last 30 Days,1.64,2,0,0,0,10,0,0,11.0,8,2,2,1,4,7,.200,2020,Yency Almonte
vs. ARI,9.00,0,0,0,0,5,0,0,5.0,12,8,5,0,2,1,.444,2020,Yency Almonte
vs. HOU,0.00,0,0,0,1,1,0,0,1.0,1,1,0,0,0,1,.333,2020,Yency Almonte
vs. LAA,4.50,0,0,0,0,2,0,0,2.0,3,1,1,0,1,1,.333,2020,Yency Almonte
vs. LAD,0.00,2,0,0,1,4,0,0,4.1,2,0,0,0,3,4,.143,2020,Yency Almonte
vs. OAK,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,.000,2020,Yency Almonte
vs. SD,1.50,0,0,0,0,4,0,0,6.0,2,1,1,1,0,7,.105,2020,Yency Almonte
vs. SF,4.15,1,0,1,1,4,0,0,4.1,4,2,2,1,0,4,.267,2020,Yency Almonte
vs. TEX,0.00,0,0,0,0,2,0,0,3.0,1,0,0,0,0,4,.100,2020,Yency Almonte
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2020,Yency Almonte
AT&T Park,5.40,0,0,0,0,2,0,0,1.2,1,1,1,1,0,2,.167,2020,Yency Almonte
Chase Field,6.00,0,0,0,0,3,0,0,3.0,5,2,2,0,2,0,.385,2020,Yency Almonte
Coors Field,3.86,1,0,1,1,11,0,0,14.0,16,9,6,1,2,13,.286,2020,Yency Almonte
3rd Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Yency Almonte
All Splits,5.56,0,1,0,2,28,0,0,34.0,39,22,21,7,14,29,.279,2019,Yency Almonte
Home,4.82,0,0,0,0,16,0,0,18.2,23,11,10,2,9,15,.291,2019,Yency Almonte
Away,6.46,0,1,0,2,12,0,0,15.1,16,11,11,5,5,14,.262,2019,Yency Almonte
Day,3.00,0,0,0,0,9,0,0,9.0,8,3,3,1,4,8,.222,2019,Yency Almonte
Night,6.48,0,1,0,2,19,0,0,25.0,31,19,18,6,10,21,.298,2019,Yency Almonte
April,6.23,0,0,0,0,3,0,0,4.1,4,4,3,0,2,1,.235,2019,Yency Almonte
May,0.00,0,0,0,0,5,0,0,6.2,3,0,0,0,4,7,.130,2019,Yency Almonte
July,7.71,0,0,0,0,2,0,0,4.2,6,4,4,1,1,1,.286,2019,Yency Almonte
August,6.52,0,1,0,1,6,0,0,9.2,12,7,7,3,4,9,.308,2019,Yency Almonte
September,7.27,0,0,0,1,12,0,0,8.2,14,7,7,3,3,11,.350,2019,Yency Almonte
Last 7 Days,3.38,0,0,0,1,4,0,0,2.2,5,1,1,0,1,4,.385,2019,Yency Almonte
Last 30 Days,7.27,0,0,0,1,12,0,0,8.2,14,7,7,3,3,11,.350,2019,Yency Almonte
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2019,Yency Almonte
vs. ARI,0.00,0,0,0,0,2,0,0,3.1,1,0,0,0,2,4,.100,2019,Yency Almonte
vs. ATL,9.00,0,0,0,0,1,0,0,1.0,2,1,1,0,0,0,.400,2019,Yency Almonte
vs. BOS,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,1,0,.000,2019,Yency Almonte
vs. LAD,11.57,0,0,0,0,3,0,0,4.2,4,7,6,2,4,3,.222,2019,Yency Almonte
vs. MIA,9.00,0,0,0,0,1,0,0,1.0,2,1,1,0,1,0,.400,2019,Yency Almonte
vs. NYM,0.00,0,0,0,0,2,0,0,1.0,0,0,0,0,0,1,.000,2019,Yency Almonte
vs. NYY,13.50,0,0,0,0,1,0,0,2.0,4,3,3,1,0,0,.364,2019,Yency Almonte
vs. PHI,0.00,0,0,0,0,1,0,0,2.0,0,0,0,0,1,2,.000,2019,Yency Almonte
vs. PIT,6.23,0,0,0,0,2,0,0,4.1,6,3,3,1,0,5,.316,2019,Yency Almonte
vs. SD,6.75,0,0,0,0,4,0,0,2.2,6,2,2,1,0,3,.429,2019,Yency Almonte
Runners On,67,20,17,6,0,4,19,4,1,16,3,1,.254,.301,.522,.824,2019,Yency Almonte
Inning Pitches,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Yency Almonte
1st Time Faced In Game,128,21,36,11,0,6,20,14,1,27,3,1,.281,.354,.508,.862,2019,Yency Almonte
2nd Time Faced In Game,12,2,3,1,0,1,2,0,0,2,0,0,.250,.250,.583,.833,2019,Yency Almonte
3rd Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2019,Yency Almonte
All Splits,1.84,0,0,0,0,14,0,0,14.2,15,5,3,1,4,14,.273,2018,Yency Almonte
Home,2.38,0,0,0,0,11,0,0,11.1,12,5,3,1,3,12,.279,2018,Yency Almonte
Away,0.00,0,0,0,0,3,0,0,3.1,3,0,0,0,1,2,.250,2018,Yency Almonte
Day,3.60,0,0,0,0,5,0,0,5.0,5,2,2,1,2,5,.294,2018,Yency Almonte
Night,0.93,0,0,0,0,9,0,0,9.2,10,3,1,0,2,9,.263,2018,Yency Almonte
June,0.00,0,0,0,0,2,0,0,2.0,1,2,0,0,1,1,.167,2018,Yency Almonte
July,2.08,0,0,0,0,3,0,0,4.1,6,1,1,0,1,1,.375,2018,Yency Almonte
August,0.00,0,0,0,0,2,0,0,2.2,1,0,0,0,0,5,.111,2018,Yency Almonte
September,3.18,0,0,0,0,7,0,0,5.2,7,2,2,1,2,7,.292,2018,Yency Almonte
Last 30 Days,0.00,0,0,0,0,1,0,0,0.1,2,0,0,0,1,1,.667,2018,Yency Almonte
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2018,Yency Almonte
vs. HOU,13.50,0,0,0,0,1,0,0,0.2,3,1,1,0,0,0,.750,2018,Yency Almonte
vs. LAD,7.71,0,0,0,0,2,0,0,2.1,4,2,2,1,1,2,.364,2018,Yency Almonte
vs. MIA,0.00,0,0,0,0,1,0,0,1.0,1,2,0,0,1,1,.200,2018,Yency Almonte
vs. NYM,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,.000,2018,Yency Almonte
vs. PHI,0.00,0,0,0,0,1,0,0,0.1,2,0,0,0,1,1,.667,2018,Yency Almonte
vs. PIT,0.00,0,0,0,0,1,0,0,2.0,0,0,0,0,0,4,.000,2018,Yency Almonte
vs. SF,0.00,0,0,0,0,3,0,0,2.1,0,0,0,0,0,2,.000,2018,Yency Almonte
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2018,Yency Almonte
AT&T Park,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0,.000,2018,Yency Almonte
Busch Stadium II,0.00,0,0,0,0,1,0,0,0.2,1,0,0,0,0,1,.333,2018,Yency Almonte
Chase Field,0.00,0,0,0,0,1,0,0,1.2,2,0,0,0,1,1,.333,2018,Yency Almonte
Coors Field,2.38,0,0,0,0,11,0,0,11.1,12,5,3,1,3,12,.279,2018,Yency Almonte
All Splits,3.65,4,2,6,6,23,0,0,24.2,22,10,10,2,10,27,.237,2020,Daniel Bard
Home,4.26,2,1,2,2,13,0,0,12.2,12,6,6,1,4,14,.255,2020,Daniel Bard
Away,3.00,2,1,4,4,10,0,0,12.0,10,4,4,1,6,13,.217,2020,Daniel Bard
Day,3.00,2,0,1,1,7,0,0,9.0,7,3,3,0,5,8,.212,2020,Daniel Bard
Night,4.02,2,2,5,5,16,0,0,15.2,15,7,7,2,5,19,.250,2020,Daniel Bard
July,3.86,1,0,0,0,3,0,0,4.2,6,2,2,0,0,4,.300,2020,Daniel Bard
August,4.35,1,2,3,3,12,0,0,10.1,10,5,5,1,3,14,.263,2020,Daniel Bard
September,2.79,2,0,3,3,8,0,0,9.2,6,3,3,1,7,9,.171,2020,Daniel Bard
Last 7 Days,0.00,1,0,0,0,1,0,0,2.2,1,0,0,0,2,1,.111,2020,Daniel Bard
Last 15 Days,3.86,1,0,0,0,3,0,0,4.2,3,2,2,0,4,2,.176,2020,Daniel Bard
Last 30 Days,2.79,2,0,3,3,8,0,0,9.2,6,3,3,1,7,9,.171,2020,Daniel Bard
vs. ARI,2.70,0,0,3,3,4,0,0,3.1,2,1,1,0,2,6,.167,2020,Daniel Bard
vs. HOU,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,.000,2020,Daniel Bard
vs. LAA,4.50,1,0,0,0,2,0,0,2.0,2,1,1,1,1,2,.250,2020,Daniel Bard
vs. LAD,6.75,0,1,2,2,5,0,0,4.0,4,3,3,1,4,4,.250,2020,Daniel Bard
vs. OAK,4.50,0,0,0,0,1,0,0,2.0,2,1,1,0,0,2,.250,2020,Daniel Bard
vs. SD,2.70,1,0,0,0,3,0,0,3.1,3,1,1,0,0,3,.250,2020,Daniel Bard
vs. SF,0.00,1,0,1,1,3,0,0,4.2,2,0,0,0,2,5,.125,2020,Daniel Bard
vs. TEX,5.40,1,1,0,0,3,0,0,3.1,5,2,2,0,1,2,.385,2020,Daniel Bard
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2020,Daniel Bard
AT&T Park,0.00,1,0,0,0,1,0,0,2.2,1,0,0,0,2,1,.111,2020,Daniel Bard
Chase Field,4.50,0,0,2,2,2,0,0,2.0,1,1,1,0,2,3,.143,2020,Daniel Bard
Coors Field,4.26,2,1,2,2,13,0,0,12.2,12,6,6,1,4,14,.255,2020,Daniel Bard
4th+ Time Faced In Game,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2020,Daniel Bard
All Splits,9.00,0,0,0,0,2,0,0,1.0,1,1,1,0,2,1,.250,2013,Daniel Bard
Home,9.00,0,0,0,0,2,0,0,1.0,1,1,1,0,2,1,.250,2013,Daniel Bard
Night,9.00,0,0,0,0,2,0,0,1.0,1,1,1,0,2,1,.250,2013,Daniel Bard
Right / Left,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2013,Daniel Bard
vs. Left,2,0,1,0,0,0,0,2,0,0,0,0,.500,.750,.500,1.250,2013,Daniel Bard
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2013,Daniel Bard
vs. HOU,9.00,0,0,0,0,2,0,0,1.0,1,1,1,0,2,1,.250,2013,Daniel Bard
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2013,Daniel Bard
Fenway Park,9.00,0,0,0,0,2,0,0,1.0,1,1,1,0,2,1,.250,2013,Daniel Bard
Count,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2013,Daniel Bard
Count 0-1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2013,Daniel Bard
Count 2-1,1,0,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2013,Daniel Bard
Count 3-0,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.000,.000,1.000,2013,Daniel Bard
Count 3-1,1,0,0,0,0,0,0,1,0,0,0,0,.000,.500,.000,.500,2013,Daniel Bard
Count 3-2,1,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,2013,Daniel Bard
Batting Order,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2013,Daniel Bard
Batting #4,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2013,Daniel Bard
Batting #5,1,0,0,0,0,0,0,1,0,1,0,0,.000,.500,.000,.500,2013,Daniel Bard
Batting #7,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2013,Daniel Bard
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2013,Daniel Bard
None On,3,0,1,0,0,0,0,1,0,1,0,0,.333,.500,.333,.833,2013,Daniel Bard
Runners On,1,1,0,0,0,0,0,1,0,0,0,0,.000,.500,.000,.500,2013,Daniel Bard
Scoring Position,0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2013,Daniel Bard
All Splits,6.22,5,6,0,0,17,10,0,59.1,60,42,41,9,43,38,.271,2012,Daniel Bard
Home,3.70,2,2,0,0,5,4,0,24.1,24,10,10,3,16,16,.264,2012,Daniel Bard
Away,7.97,3,4,0,0,12,6,0,35.0,36,32,31,6,27,22,.277,2012,Daniel Bard
Day,5.03,2,2,0,0,5,4,0,19.2,18,11,11,2,22,13,.269,2012,Daniel Bard
Night,6.81,3,4,0,0,12,6,0,39.2,42,31,30,7,21,25,.273,2012,Daniel Bard
April,3.72,2,2,0,0,4,3,0,19.1,18,9,8,1,10,19,.240,2012,Daniel Bard
May,5.03,3,3,0,0,6,6,0,34.0,33,19,19,4,21,13,.273,2012,Daniel Bard
June,27.00,0,1,0,0,1,1,0,1.2,1,5,5,1,6,2,.200,2012,Daniel Bard
August,9.00,0,0,0,0,1,0,0,1.0,2,1,1,1,0,0,.400,2012,Daniel Bard
September,21.60,0,0,0,0,5,0,0,3.1,6,8,8,2,6,4,.400,2012,Daniel Bard
Last 7 Days,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,1,0,.000,2012,Daniel Bard
vs. BAL,2.84,1,0,0,0,2,1,0,6.1,5,2,2,1,5,2,.263,2012,Daniel Bard
vs. CHW,2.57,1,0,0,0,1,1,0,7.0,6,3,2,1,1,6,.214,2012,Daniel Bard
vs. CLE,1.50,1,0,0,0,1,1,0,6.0,6,1,1,0,4,2,.273,2012,Daniel Bard
vs. DET,3.38,1,0,0,0,1,1,0,5.1,5,2,2,2,2,4,.250,2012,Daniel Bard
vs. KC,6.43,0,1,0,0,1,1,0,7.0,6,5,5,0,4,1,.250,2012,Daniel Bard
vs. MIN,0.00,1,0,0,0,1,0,0,0.2,0,0,0,0,1,0,.000,2012,Daniel Bard
vs. OAK,7.36,0,1,0,0,3,1,0,7.1,12,6,6,2,2,3,.364,2012,Daniel Bard
vs. TB,5.14,0,1,0,0,2,1,0,7.0,5,4,4,0,10,7,.217,2012,Daniel Bard
vs. TOR,16.43,0,2,0,0,4,2,0,7.2,12,14,14,2,9,10,.353,2012,Daniel Bard
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2012,Daniel Bard
Camden Yards,2.84,1,0,0,0,2,1,0,6.1,5,2,2,1,5,2,.263,2012,Daniel Bard
Citizens Bank Park,9.00,0,1,0,0,1,1,0,5.0,3,5,5,1,5,3,.188,2012,Daniel Bard
As Starter,199,33,52,11,0,6,27,36,8,34,7,3,.261,.392,.407,.799,2012,Daniel Bard
All Splits,3.33,2,9,1,6,70,0,0,73.0,46,29,27,5,24,74,.179,2011,Daniel Bard
Home,2.70,2,3,1,4,36,0,0,36.2,22,12,11,4,8,37,.173,2011,Daniel Bard
Away,3.96,0,6,0,2,34,0,0,36.1,24,17,16,1,16,37,.185,2011,Daniel Bard
Day,2.73,0,3,1,2,23,0,0,26.1,12,9,8,1,5,24,.141,2011,Daniel Bard
Night,3.66,2,6,0,4,47,0,0,46.2,34,20,19,4,19,50,.198,2011,Daniel Bard
April,3.65,0,3,0,0,12,0,0,12.1,11,6,5,0,3,12,.256,2011,Daniel Bard
May,3.38,1,1,0,2,13,0,0,13.1,7,5,5,3,4,13,.149,2011,Daniel Bard
June,0.00,0,0,1,1,11,0,0,13.0,4,0,0,0,3,12,.098,2011,Daniel Bard
July,0.00,0,0,0,0,13,0,0,12.1,7,0,0,0,3,12,.159,2011,Daniel Bard
August,3.27,1,1,0,0,10,0,0,11.0,6,4,4,2,2,14,.154,2011,Daniel Bard
September,10.64,0,4,0,3,11,0,0,11.0,11,14,13,0,9,11,.256,2011,Daniel Bard
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2011,Daniel Bard
vs. BAL,4.70,0,2,0,0,7,0,0,7.2,9,5,4,0,0,7,.290,2011,Daniel Bard
vs. CHC,0.00,0,0,0,0,1,0,0,1.1,0,0,0,0,0,2,.000,2011,Daniel Bard
vs. CHW,0.00,0,0,0,0,2,0,0,3.0,1,0,0,0,0,4,.100,2011,Daniel Bard
vs. CLE,16.88,0,3,0,1,4,0,0,2.2,4,5,5,1,2,2,.400,2011,Daniel Bard
vs. DET,6.00,1,0,0,1,3,0,0,3.0,2,2,2,2,0,3,.182,2011,Daniel Bard
vs. HOU,0.00,0,0,0,0,2,0,0,1.1,0,0,0,0,1,2,.000,2011,Daniel Bard
vs. LAA,0.00,0,0,0,0,5,0,0,5.1,2,0,0,0,1,7,.111,2011,Daniel Bard
vs. MIN,0.00,0,0,0,0,3,0,0,3.1,0,0,0,0,0,2,.000,2011,Daniel Bard
vs. NYY,3.00,1,0,0,1,9,0,0,9.0,5,3,3,1,6,9,.156,2011,Daniel Bard
vs. OAK,0.00,0,0,1,1,5,0,0,5.2,4,0,0,0,0,3,.200,2011,Daniel Bard
vs. PHI,0.00,0,0,0,0,1,0,0,1.0,0,0,0,0,0,1,.000,2011,Daniel Bard
Count 3-2,24,8,5,2,0,1,6,13,0,9,0,0,.208,.486,.417,.903,2011,Daniel Bard
Batting #3,35,6,8,1,0,2,7,2,0,9,0,0,.229,.270,.429,.699,2011,Daniel Bard
Batting #4,29,6,4,0,0,2,3,4,0,5,0,0,.138,.242,.345,.587,2011,Daniel Bard
Batting #5,24,0,2,0,0,0,0,3,1,6,0,0,.083,.214,.083,.298,2011,Daniel Bard
Batting #6,21,0,0,0,0,0,0,2,1,8,0,0,.000,.125,.000,.125,2011,Daniel Bard
None On,149,4,29,3,2,4,4,11,1,40,0,0,.195,.255,.322,.577,2011,Daniel Bard
Runners On,108,25,17,5,1,1,23,13,1,34,7,1,.157,.254,.250,.504,2011,Daniel Bard
Scoring Position,65,22,11,5,0,0,20,11,0,21,3,0,.169,.289,.246,.536,2011,Daniel Bard
Bases Loaded,12,8,0,0,0,0,5,3,0,5,0,0,.000,.200,.000,.200,2011,Daniel Bard
"Scoring Position, 2 out",33,11,5,3,0,0,8,9,0,9,1,0,.152,.333,.242,.576,2011,Daniel Bard
